	B-cells	CAFs	Endothelial	Epithelial	Myeloid	Plasmablasts	SMCs	T-cells
18745x13022	1.5474493e-10	1.548592e-10	1.5462014e-10	0.92889416	0.006422372	0.04297456	0.009466656	0.012242235
15751x10163	0.0076819095	0.06348636	0.025969367	0.68963623	0.08815552	0.074022636	0.02376861	0.02727935
9065x9430	2.641432e-10	0.0017337283	0.014311322	0.90483403	0.041344054	0.020978209	2.6428987e-10	0.016798664
10153x10859	0.0004968122	0.0050723604	0.021423627	0.68397844	0.15907957	0.033823494	0.01599187	0.08013387
6717x18685	4.2564757e-10	0.10086501	4.2493944e-10	0.7240711	0.10969514	0.06536874	4.2506992e-10	4.2540085e-10
16434x9928	1.1994216e-09	0.11557432	0.050999895	0.5005159	0.12671709	0.15032902	0.033671588	0.02219221
7402x17975	0.023514023	0.03992853	3.5657022e-10	0.88679725	0.0063679502	0.013771164	3.5704253e-10	0.029621135
14934x9686	8.483627e-10	0.050385173	8.477157e-10	0.6286891	0.15669063	0.10580939	0.023652514	0.03477317
16421x14203	0.03548598	0.12839086	0.031037163	0.44597057	0.1257971	0.12645884	0.014944859	0.09191461
9356x3732	1.7668017e-10	0.032222826	0.022172092	0.70800745	0.13362007	0.032814607	0.028638413	0.042524546
10297x8247	0.0063559515	0.0141822435	0.00069103943	0.7998875	0.06419231	0.079148054	0.012172478	0.023370488
8104x11565	1.4288644e-10	0.007614893	1.4272682e-10	0.8804013	0.040767755	0.04800721	0.0012907985	0.021918051
17649x14444	0.013837281	0.08971	0.016766623	0.43090498	0.23470587	0.06936179	0.034525175	0.1101883
7279x13462	9.203552e-11	0.00906922	0.0006631356	0.9235486	0.032207947	0.009665212	9.2167614e-11	0.024845928
10403x18459	0.005981552	0.05933475	0.0078454465	0.8645476	0.043721586	0.006177509	5.720019e-10	0.012391547
18059x14208	0.006826417	0.052984234	0.015231041	0.72052026	0.10899136	0.04616484	0.03377707	0.015504783
7546x15363	0.017674671	0.17560573	0.17845213	0.1705701	0.19129357	0.10382776	0.11477093	0.047805063
8896x20117	3.8139206e-10	0.020502485	3.8103212e-10	0.95081025	3.813753e-10	0.028687293	3.8061518e-10	3.807909e-10
14777x16097	1.7701315e-10	0.0437357	0.0058515626	0.7722833	0.097647995	0.04667943	0.008082547	0.025719402
15456x17287	0.005121534	0.06158747	0.031846173	0.7402504	0.10053781	0.04886947	3.67291e-10	0.011787088
18078x8033	0.004994436	0.060907423	0.052604526	0.600786	0.095618494	0.09853507	0.0348177	0.051736407
8504x14653	1.0679084e-10	0.05674628	0.0052251387	0.8278006	0.042786658	0.01037258	0.015486494	0.041582283
18316x19433	1.0067567e-08	2.675194e-10	2.6780117e-10	0.97128326	2.6822242e-10	0.027370958	2.675444e-10	0.0013457934
12218x4928	7.032883e-10	0.041076574	0.011390229	0.7672981	0.09983407	0.051088337	0.029312683	7.0336353e-10
13401x19893	0.002937061	0.022507932	0.02278018	0.81283087	0.076286055	0.03692894	0.015705682	0.010023314
7965x12277	9.4193646e-11	0.034882206	0.01583317	0.7696272	0.09835999	0.022978324	0.0027710479	0.055548105
13583x4932	5.288538e-10	0.0030115007	5.2880433e-10	0.84313244	0.05766558	0.055858985	0.0375377	0.002793842
6473x9185	0.019061293	0.10265651	0.0340984	0.31600952	0.26770973	0.105007105	0.010914316	0.14454307
8898x19642	0.023561407	0.12981004	0.021974446	0.8204535	4.0933104e-10	4.0989512e-10	0.0042005866	4.0979664e-10
17491x21330	0.0024372635	0.0457486	4.0439357e-10	0.82991517	0.05317629	0.043374	0.018519452	0.006829209
15599x15150	0.015456193	0.24017715	0.053626157	0.32979128	0.14165232	0.12882006	0.04027964	0.050197136
19041x5424	0.020790312	0.07977102	0.026280519	0.6610839	0.09713902	0.10104424	0.0065045315	0.007386494
19032x8273	6.2315303e-10	0.10824509	0.030827971	0.5869144	0.100132644	0.10815773	0.017723735	0.047998376
11635x17275	3.97926e-10	0.044365495	0.013890985	0.7054756	0.12559389	0.071329296	0.003921957	0.035422757
9623x5632	1.8699807e-10	0.002491845	0.0032331902	0.9606526	0.0012543289	0.03236808	1.8731078e-10	1.8683409e-10
18738x15397	0.045164574	0.18193236	0.03201653	0.24079174	0.17673294	0.20609374	0.004746864	0.11252128
17662x10169	9.787597e-10	0.10985478	0.047434337	0.5481707	0.1380123	0.1280246	0.0076451045	0.02085819
6873x12274	9.4170075e-11	9.414224e-11	9.409719e-11	0.86459357	0.093071505	9.4179775e-11	0.0030491604	0.03928581
7032x4912	0.0050431103	0.0073661315	2.4526992e-10	0.91729075	0.025526512	0.021228222	0.005821089	0.017724114
8350x20115	0.010544756	0.124916896	7.275966e-10	0.8075552	0.03808599	4.1663153e-09	0.018897168	7.2768674e-10
17233x16580	0.0090989275	0.093797214	0.066627346	0.60425	0.069288984	0.09061219	0.03973512	0.026590174
10302x6822	0.0105044665	0.022467183	0.0077422624	0.8422134	0.053553373	0.05370528	3.491017e-10	0.009814069
7439x5626	0.012178527	0.027476083	0.01338549	0.82937896	0.054599293	0.035716627	0.004752908	0.022512155
14650x13010	0.019247936	0.087401085	0.06037244	0.5286675	0.10502517	0.16990651	1.0552507e-09	0.029379362
