	B-cells	CAFs	Endothelial	Epithelial	Myeloid	Plasmablasts	SMCs	T-cells
13215x5239	0.0026481994	0.0060121766	1.602575e-10	0.9468548	0.013740453	0.004850621	0.0124286655	0.013465066
6108x9502	5.998966e-10	0.1299313	0.014158804	0.42785668	0.23093967	0.112927064	0.066876695	0.017309818
8546x19959	0.00921197	0.0748839	0.037840653	0.7798902	0.014154663	0.040119205	0.04047853	0.0034209627
17144x21638	2.4521962e-10	0.13519281	0.013519217	0.7252148	0.09761849	0.016946962	0.004405849	0.0071018403
15244x15458	0.03317889	0.17959534	0.03168453	0.31293222	0.20306796	0.12037691	0.008312148	0.11085203
18675x5724	0.040965628	0.16803156	0.1157718	0.39185515	0.054170284	0.10253675	0.059248187	0.067420565
18670x8575	0.040769216	0.36462656	0.032118317	0.1616893	0.20162739	0.052597944	0.031258296	0.11531302
11281x17588	1.8068173e-10	0.040681235	0.022532817	0.73328805	0.11676171	0.014436475	0.026203502	0.046096228
9254x5945	1.6273151e-10	0.0013401305	0.0072968523	0.96012414	0.016393105	0.008927208	1.6272034e-10	0.0059185997
18384x15701	8.875274e-11	0.02684222	0.017885365	0.7779454	0.09738487	0.043664057	0.01865789	0.01762012
17301x10473	1.3312811e-09	0.11110278	0.014462593	0.42984772	0.15419406	0.14601703	0.0741306	0.0702452
6512x12591	0.0021751518	0.013609623	0.01115628	0.854286	0.08712242	0.021131152	1.4110048e-10	0.010519343
6662x5227	4.4502368e-10	0.03347529	0.014629432	0.7271535	0.08698	0.08065904	0.008295629	0.048807133
7999x20433	0.019751798	0.07441767	0.031097041	0.8176506	5.899608e-10	0.0031520529	0.053930797	5.8889726e-10
16880x16886	2.367767e-10	2.369755e-10	0.032991152	0.90473443	0.0046898443	0.008198779	0.04474783	0.004637923
9935x7134	2.7249608e-10	0.037365038	0.0055159945	0.8437056	0.07594308	0.036642823	0.00023038425	0.00059706514
7070x5941	0.021355875	0.013765967	0.018219978	0.9003429	0.02475993	0.012139818	0.009415598	3.6615036e-10
14292x13318	0.0047554686	0.15292814	0.08906401	0.31941763	0.1426555	0.08647893	0.083000466	0.121699914
19069x14039	0.0049850363	0.02607875	0.0061898343	0.9197495	1.3672842e-10	0.032608856	0.007478746	0.0029092242
11712x5949	0.0046872715	0.06500407	0.03021657	0.72438246	0.0785338	0.08855132	4.6277387e-10	0.008624523
18374x20927	2.7499508e-10	2.7484928e-10	2.7508112e-10	0.9120061	0.05155149	0.025299165	2.7504227e-10	0.011143264
14826x19970	0.0022917453	0.07062663	0.020479728	0.7724728	0.07429814	0.034912474	0.023686897	0.0012315502
5686x16390	0.110761635	0.055778816	0.033507746	0.20101744	0.12155005	0.062011704	0.032457348	0.38291523
18530x10238	0.03139181	0.18245813	0.23381723	0.18883622	0.12892905	0.09009412	0.042847082	0.10162642
16070x11658	1.3890998e-09	0.09946039	0.011942768	0.507323	0.112244844	0.16616818	0.030826172	0.07203466
5550x16153	0.15061696	0.094657436	0.025772441	0.21537136	0.0922847	0.13257591	0.010758873	0.2779623
16355x5007	0.033436403	0.054402765	0.024091039	0.7625745	0.0555673	0.06312051	0.0068074805	7.704484e-10
7599x15444	3.747449e-10	0.063219115	0.057261605	0.6675048	0.07770722	0.076419204	0.037547108	0.020340996
9930x9509	0.0025951925	0.046999168	0.013537945	0.77138954	0.07734743	0.061759487	0.0046839206	0.02168726
6384x7602	0.018915508	0.042028043	0.02462222	0.728979	0.09993046	0.0407206	0.030760942	0.014043154
16211x9521	0.003405419	0.13865538	0.03202064	0.4627376	0.15268953	0.17508204	1.4081314e-09	0.035409413
17302x9998	0.03105678	0.14852862	0.062042553	0.36010298	0.13276678	0.14577733	0.102289096	0.017435845
11568x9987	0.011742411	0.024227357	0.026203468	0.83756655	0.039636288	0.02218479	0.033403073	0.0050361734
16758x8571	0.003661655	0.1966082	0.21246183	0.19805588	0.09265111	0.0380083	0.18647653	0.072076455
5695x11164	6.1983846e-10	0.08571381	0.05981279	0.5858851	0.09241544	0.12799314	0.0110052135	0.03717456
8294x8556	0.0021763046	0.054104265	0.020582562	0.68605894	0.14441536	0.028284298	0.03058287	0.033795517
4724x19477	0.007005948	0.0679027	0.008719268	0.7662933	0.06073882	0.021586962	2.0191421e-10	0.06775311
